NACA 2814
 1.00000     0.00147
 0.97927     0.00875
 0.94287     0.02030
 0.89780     0.03243
 0.84691     0.04327
 0.79199     0.05163
 0.73438     0.05861
 0.67512     0.06503
 0.61510     0.07070
 0.55507     0.07547
 0.49571     0.07918
 0.43759     0.08172
 0.38128     0.08297
 0.32727     0.08285
 0.27602     0.08129
 0.22796     0.07827
 0.18350     0.07383
 0.14303     0.06801
 0.10691     0.06093
 0.07549     0.05272
 0.04909     0.04353
 0.02805     0.03352
 0.01265     0.02285
 0.00321     0.01165
 0.00000     0.00000
 0.00321    -0.01133
 0.01265    -0.02160
 0.02805    -0.03076
 0.04909    -0.03877
 0.07549    -0.04553
 0.10691    -0.05096
 0.14303    -0.05499
 0.18350    -0.05758
 0.22796    -0.05872
 0.27602    -0.05845
 0.32727    -0.05681
 0.38128    -0.05393
 0.43759    -0.04993
 0.49571    -0.04497
 0.55507    -0.03922
 0.61510    -0.03284
 0.67512    -0.02601
 0.73438    -0.01888
 0.79199    -0.01164
 0.84691    -0.00547
 0.89780    -0.00199
 0.94287    -0.00071
 0.97927    -0.00089
 1.00000    -0.00147
