NACA 1820
 1.00000     0.00210
 0.97927     0.00885
 0.94287     0.01990
 0.89780     0.03219
 0.84691     0.04426
 0.79199     0.05519
 0.73438     0.06529
 0.67512     0.07478
 0.61510     0.08342
 0.55507     0.09098
 0.49571     0.09724
 0.43759     0.10199
 0.38128     0.10505
 0.32727     0.10626
 0.27602     0.10552
 0.22796     0.10274
 0.18350     0.09793
 0.14303     0.09112
 0.10691     0.08242
 0.07549     0.07198
 0.04909     0.05997
 0.02805     0.04661
 0.01265     0.03206
 0.00321     0.01649
 0.00000     0.00000
 0.00321    -0.01633
 0.01265    -0.03143
 0.02805    -0.04523
 0.04909    -0.05759
 0.07549    -0.06838
 0.10691    -0.07743
 0.14303    -0.08460
 0.18350    -0.08980
 0.22796    -0.09297
 0.27602    -0.09410
 0.32727    -0.09325
 0.38128    -0.09053
 0.43759    -0.08609
 0.49571    -0.08013
 0.55507    -0.07285
 0.61510    -0.06449
 0.67512    -0.05527
 0.73438    -0.04542
 0.79199    -0.03519
 0.84691    -0.02536
 0.89780    -0.01698
 0.94287    -0.01011
 0.97927    -0.00492
 1.00000    -0.00210
