NACA 3127
 1.00000     0.00283
 0.97927     0.01066
 0.94287     0.02395
 0.89780     0.03962
 0.84691     0.05634
 0.79199     0.07327
 0.73438     0.08983
 0.67512     0.10554
 0.61510     0.12002
 0.55507     0.13292
 0.49571     0.14392
 0.43759     0.15273
 0.38128     0.15908
 0.32727     0.16276
 0.27602     0.16359
 0.22796     0.16150
 0.18350     0.15646
 0.14303     0.14854
 0.10691     0.13789
 0.07549     0.12294
 0.04909     0.10158
 0.02805     0.07646
 0.01265     0.04997
 0.00321     0.02405
 0.00000     0.00000
 0.00321    -0.02026
 0.01265    -0.03575
 0.02805    -0.04752
 0.04909    -0.05713
 0.07549    -0.06654
 0.10691    -0.07790
 0.14303    -0.08868
 0.18350    -0.09698
 0.22796    -0.10271
 0.27602    -0.10589
 0.32727    -0.10658
 0.38128    -0.10494
 0.43759    -0.10117
 0.49571    -0.09552
 0.55507    -0.08826
 0.61510    -0.07967
 0.67512    -0.07004
 0.73438    -0.05963
 0.79199    -0.04874
 0.84691    -0.03766
 0.89780    -0.02676
 0.94287    -0.01657
 0.97927    -0.00793
 1.00000    -0.00283
